legal_entity,counter_party,tier,max_rating_by_counterparty,value_for_arap,value_for_accr
L1,C1,1,3,40,0
L1,C3,3,6,5,0
L1,C4,4,6,40,100
L1,Total,1,3,40,0
L1,Total,3,6,5,0
L1,Total,4,6,40,100
L2,C2,2,3,20,40
L2,C3,3,2,0,52
L2,C5,5,6,1000,115
L2,Total,2,3,20,40
L2,Total,3,2,0,52
L2,Total,5,6,1000,115
L3,C3,3,4,0,145
L3,C6,6,6,145,60
L3,Total,3,4,0,145
L3,Total,6,6,145,60
Total,C1,1,3,40,0
Total,C2,2,3,20,40
Total,C3,3,12,5,197
Total,C4,4,6,40,100
Total,C5,5,6,1000,115
Total,C6,6,6,145,60
Total,Total,1,3,40,0
Total,Total,2,3,20,40
Total,Total,3,12,5,197
Total,Total,4,6,40,100
Total,Total,5,6,1000,115
Total,Total,6,6,145,60
